mae_rcwa_o5_pct,mae_rcwa_o7_pct,mae_surr_pct,n_box_edge,n_violations,orig_index,peak_shift_nm,pixel_nm,seed,smallest_feature_nm,status,structure,target_no,twice_R_out_over_P,violated_rules,true_P,true_R_disk,true_R_in,true_R_out,true_W2,true_Wx,true_Wy,true_d1,true_d2,true_d_SiO2,true_phi,true_t1,true_t2,true_t_Cr,true_t_mid,true_theta,committed_P,committed_R_disk,committed_R_in,committed_R_out,committed_W2,committed_Wx,committed_Wy,committed_d1,committed_d2,committed_d_SiO2,committed_phi,committed_t1,committed_t2,committed_t_Cr,committed_t_mid,committed_theta
5.208,,0.708,2,1,6,+0,8.86,777,14.0,pretender,A,19,,Wy>0.9P,322.21,,,,289.99,289.19,253.21,46.63,60.59,,,43.5,42.96,,11.47,41.2,567.16,,,,327.84,74.36,540.0,55.88,97.45,,,15.28,57.12,,14.0,39.85
3.364,,0.071,1,2,413,+0,6.04,777,8.5,confirmed,A,20,,Wy>0.9P;W2>0.9P,325.41,,,,264.52,292.87,292.87,68.42,45.08,,,70.64,41.62,,27.52,20.57,386.59,,,,353.26,334.79,385.32,120.48,45.47,,,60.34,25.13,,8.54,0.0
1.835,2.386,0.452,0,0,358,+28,8.36,42,49.6,confirmed,B,1,0.861,,650.12,46.67,239.98,292.42,,,,,,130.18,7.3,,,65.06,,15.51,535.07,36.67,180.8,230.44,,,,,,148.74,16.18,,,68.21,,40.87
2.599,3.673,1.14,2,1,43,+14,8.82,42,6.3,confirmed,B,2,0.828,R_disk>R_in-10,550.71,52.42,64.99,232.83,,,,,,128.2,4.15,,,59.11,,16.81,564.16,23.69,30.0,233.61,,,,,,134.64,0.7,,,53.44,,18.36
3.803,2.219,0.756,0,0,24,+28,10.78,42,62.1,confirmed,B,3,0.792,,510.85,55.52,159.53,207.63,,,,,,163.63,14.4,,,70.08,,46.11,689.65,40.32,150.99,273.0,,,,,,156.85,2.64,,,62.1,,32.79
3.765,7.757,0.431,1,0,428,+71,6.43,42,23.0,confirmed,B,4,0.577,,427.57,44.59,85.87,95.87,,,,,,58.56,14.25,,,74.83,,14.63,411.36,36.98,95.81,118.77,,,,,,64.77,45.0,,,66.47,,34.28
1.957,4.399,1.074,0,0,487,+0,7.81,42,10.2,confirmed,B,5,0.859,,497.81,85.76,214.01,224.01,,,,,,100.39,34.21,,,45.47,,28.11,499.97,86.82,204.65,214.82,,,,,,100.71,27.33,,,53.64,,30.39
1.619,3.424,1.1,1,1,396,+14,8.22,42,38.3,confirmed,B,6,0.969,R_out>0.45P,505.83,56.82,207.81,227.62,,,,,,120.72,40.47,,,45.6,,39.88,526.28,67.02,197.86,255.09,,,,,,114.74,45.0,,,38.34,,32.69
31.644,26.104,0.612,1,2,302,+933,6.06,42,-43.7,pretender,B,7,1.074,R_out>0.45P;R_in>R_out-10,569.2,18.63,108.97,118.97,,,,,,168.46,21.97,,,23.74,,6.08,388.09,100.0,252.0,208.32,,,,,,172.12,25.65,,,24.87,,23.25
5.864,3.314,0.631,1,2,468,-339,5.49,42,5.5,pretender,B,8,0.928,R_out>0.45P;R_disk>R_in-10,332.38,50.2,60.2,149.57,,,,,,133.61,0.22,,,26.85,,53.19,351.24,100.0,105.45,163.05,,,,,,138.12,12.76,,,30.98,,44.88
2.781,1.917,0.705,1,0,310,+57,10.57,42,12.9,confirmed,B,9,0.677,,684.92,79.57,264.33,295.91,,,,,,63.83,36.98,,,21.52,,45.72,676.26,51.35,216.2,229.06,,,,,,72.74,45.0,,,55.23,,48.73
6.823,5.381,1.877,3,0,38,+14,12.5,42,34.9,pretender,B,10,0.463,,746.58,34.04,87.01,97.01,,,,,,199.43,3.71,,,55.28,,58.84,800.0,34.7,114.49,185.3,,,,,,200.0,0.0,,,34.89,,55.32
2.509,7.201,1.031,3,1,16,+28,10.34,42,24.8,confirmed,B,11,0.916,R_out>0.45P,639.18,41.69,66.86,287.63,,,,,,198.21,5.07,,,33.01,,15.99,661.7,11.01,35.83,303.19,,,,,,191.55,0.0,,,37.21,,15.42
